Authors,Author full names,Author(s) ID,Title,Year,Link,Abstract,Publisher
Çoban M.; Topuz A.C.; Karabulut A.; Chiu T.K.F.,"Çoban, Murat (56715612100); Topuz, Arif Cem (57160885000); Karabulut, Ahmet (59278243500); Chiu, Thomas K. F. (56435413000)",56715612100; 57160885000; 59278243500; 56435413000,Comparing Realities: A Study on the Impact of Virtual Reality versus Paper-Based Reading on Higher Education Students' Comprehension Skills,2024,https://www.scopus.com/pages/publications/85201643125?origin=resultslist,"Virtual Reality (VR) stands at the forefront of transformative educational technologies in the 21st century, promising to redefine traditional learning paradigms. This research delves into the impact of VR on higher education students' Reading Comprehension (RC) skills, contrasting it with conventional paper-based reading environments. By conducting a comparative analysis of RC skills among students engaged in reading a selected narrative through VR glasses and those using a paper-based format, this study offers valuable insights into the efficacy and challenges of VR in enhancing reading comprehension. A cohort of 98 undergraduate students participated in this study, which employed a mixed-methods research approach to scrutinize the differences in RC outcomes between the experimental (VR) and control (paper-based) groups. The findings reveal a notable disparity in RC scores, with the control group outperforming their VR counterparts, highlighting the need for further investigation into the obstacles faced by students when reading in a VR setting. Qualitative analysis sheds light on the underlying reasons for the diminished RC levels observed in the VR group, providing a nuanced understanding of the interaction between medium and comprehension. The implications of this research are far-reaching, offering crucial guidance to educational technologists, curriculum designers, policy makers, and educators contemplating the integration of VR into educational frameworks. By identifying the constraints and potential of VR in reading instruction, this study paves the way for optimizing VR-based learning environments to foster higher levels of reading comprehension among students. © 2024, Ozgen Korkmaz. All rights reserved.",Ozgen Korkmaz
Pan Y.,"Pan, Yingying (57831300200)",57831300200,Designing Smart Space Services by Virtual Reality-Interactive Learning Model on College Entrepreneurship Education,2022,https://www.scopus.com/pages/publications/85135499309?origin=resultslist,"The purpose was to improve the limitations of traditional entrepreneurship education, realize the virtual interactive learning between college students and teachers, and stimulate students’ exploration of entrepreneurship. This work first discusses the working principle of Virtual Reality (VR) and builds an Interactive Learning Model (ILM) using VR. Then, the VR-ILM is used to design the Smart Space services. Harris Corner Detector (HCD) is used to detect the pixel grayscale change in the Smart Space image window. Further, the VR-ILM-based Smart Space is proposed according to the Smart Space design requirements and principles. Finally, the proposed VR-ILM-based Smart Space is applied to College Entrepreneurship Education (CEE). Its impact on the CEE market, employment in different industries, and students’ satisfaction with CEE are studied. The results show that the proposed VR-ILM-based Smart Space has increased the entrepreneurship teaching courses, entrepreneurship coaching activities, and entrepreneurship practice activities by 4, 6, and 24%, respectively. It has reduced entrepreneurship competitions and other forms of entrepreneurship education by 4 and 16%. The proposed VR-ILM-based Smart Space has dramatically improved the practical teaching of CEE. Meanwhile, real estate services have felt the most significant impact of the proposed VR-ILM-based Smart Space, with an employment increase of 43%. Lastly, students’ satisfaction with entrepreneurship education practice and teaching methods has increased by nearly 50%. The satisfaction with the internal environment has increased to 78%. The satisfaction with the curriculum system, teachers, and industry financing has increased from 30 to 45%, 24 to 36%, and 45 to 63%, respectively. The satisfaction with the teaching goal has increased to 62%. Thus, the proposed VR-ILM-based Smart Space has dramatically improved students’ satisfaction with CEE and has a different impact on the market, industry, and satisfaction with CE. The finding has a certain reference for the VR interactive model. Copyright © 2022 Pan.",Frontiers Media S.A.
Gudoniene D.; Rutkauskiene D.,"Gudoniene, Daina (55365896500); Rutkauskiene, Danguol (6506102040)",55365896500; 6506102040,Virtual and augmented reality in education,2019,https://www.scopus.com/pages/publications/85083463667?origin=resultslist,"Over the past few years, VR and AR have been gaining popularity very fast. Implementations of new technologies caused the development of AR and VR. Both virtual reality and augmented reality is not yet widely used in higher education and the purpose of this paper is to provide a model for the development of integrated learning objects based on VR and AR approach where VR and AR objects could be integrated into other educational content as learning objects by creating integrated learning programs, learning scenarios or etc. This paper provides the literature review on virtual and augmented reality and analysis of integrated models for educational process implementation. The suggested model validates authors' conclusions and leads to recommendations for its implementation. © 2019 Baltic Journal of Modern Computing. All rights reserved.","University of Latvia, Institute of Mathematics and Informatics"
Zeng J.; Fan D.; Hu H.; Huang G.; Zhang H.,"Zeng, Jingsheng (59679980400); Fan, Dayu (60356221100); Hu, Hanlin (58241577700); Huang, Guan (57681945000); Zhang, Haohua (59010390400)",59679980400; 60356221100; 58241577700; 57681945000; 59010390400,Research on the influence of personalized principles in AR educational resources on the learning effectiveness of college students,2026,https://www.scopus.com/pages/publications/105028912795?origin=resultslist,"With the rapid development of modern educational technology, the application of augmented reality (AR) technology in education is gradually showing its potential. While building innovative teaching environments and experiential learning scenarios, abstract concepts are visualized to create a learning space that combines interactivity and immersion. Through gamified design elements and incentive mechanisms, learners' participation and learning effectiveness are effectively enhanced, bringing new educational possibilities and research dimensions. This study is supported by theories such as multimedia learning cognitive emotion theory, embodied cognition theory, and cognitive load theory, and independently developed two AR educational resources. Based on the theme nature of learning materials (neutral/negative) and learner characteristics (high/low spatial ability), a two-dimensional division is carried out, and a quasi experimental research method is adopted. Eye tracking technology and brainwave technology are comprehensively used to collect physiological data of learners from multiple dimensions such as visual attention allocation, cognitive load, and emotion. The learning process and cognitive mechanism boundary conditions of learners in different types of AR materials are analyzed in depth. Research has found that personalized storytelling styles have different effects on maintaining and transferring high and low spatial abilities, while formal storytelling styles have different effects on subjective psychological effort, cognitive use, learning interest, positive emotions, and attention toward high and low spatial abilities. Copyright © 2026 Zeng, Fan, Hu, Huang and Zhang.",Frontiers Media SA
Asani E.O.; Chidioke M.Z.; Shoyombo A.J.; Kayode A.A.; Ezenwoke A.; Okocha F.,"Asani, Emmanuel Oluwatobi (57204938840); Chidioke, Mmesoma Zuri (57209223524); Shoyombo, Ayoola John (57207889347); Kayode, Aderonke Anthonia (57209221878); Ezenwoke, Azubuike (55681256800); Okocha, Foluke (57193500234)",57204938840; 57209223524; 57207889347; 57209221878; 55681256800; 57193500234,LF-ViT: Development of a Virtual Reality guided tour mobile app of Landmark University teaching and research farm,2019,https://www.scopus.com/pages/publications/85066903606?origin=resultslist,"In this work, we designed and developed a Virtual Reality guided tour mobile app for Landmark University farms, LF-ViT. We were motivated by the need to circumvent the problem of bio-security caused by incessant visit to the farm by visitors, tourists or customers. The guided tour was implemented using the storytelling technique. Other technical details of the design and implementation process are discussed. © 2019 International Association of Online Engineering.",International Association of Online Engineering
Tan T.L.; Nguyen H.T.T.; Khanh N.C.N.; Le T.H.T.; Vo U.T.H.,"Tan, Trinh Le (57211485154); Nguyen, Hoai Thu Thi (59125453500); Khanh, Nguyen Chau Ngoc (59125959400); Le, Thanh Hien Thi (59125626100); Vo, Uyen Truong Hoang (59126305400)",57211485154; 59125453500; 59125959400; 59125626100; 59126305400,RESEARCHING INFLUENCES OF LEARNER EXPERIENCE ON AR/VR ADOPTION - THE CASE OF VIETNAMESE UNIVERSITIES,2024,https://www.scopus.com/pages/publications/85193008149?origin=resultslist,"Aim/Purpose The study aims to analyze the elements/factors that impact students’ augmented reality/virtual reality (AR/VR) adoption through their behavior in Vietnamese higher education. In particular, the research demonstrates the influences of and relationships between multiple goals, learner experience, and barriers to adopting AR/VR. Background The widespread adoption of digital transformation in numerous industries demonstrates its prospects and potential for growth. Many cutting-edge technologies, including AR and VR, have been included in educational activities because they have the potential to elevate academic standards across numerous colleges. However, their implementation and practice within higher education appear confusing to lecturers, organizations, and, in particular, students. Their innovative nature and differences are the fundamental causes. Hence, thoroughly elaborating the elements that impact the adoption of students – the target audience – through investigating the behavior if these factors are crucial to ensure the benefits of AR/VR are leveraged while the implementation procedures are enhanced. Methodology By integrating earlier research, the research proposes a theoretical framework to explore how learners of AR/VR adopt these technologies. Discussion group interviews with professionals, namely four lecturers at Vietnam universities, were conducted. The professionals adjusted elements and changed the scales in order to optimize them in accordance with the context of Vietnamese universities. Additionally, the authors surveyed 200 students whose responses were transformed into numerical data. SmartPLS-SEM 4.0.9.3 software was used to test whether specific hypotheses were accepted or rejected. Contribution The research holds immense significance as it employs customer behavior as the foundational theory to construct a proposed model delineating the influence of learner experience on multiple goals and AR/VR adoption. Moreover, the study’s findings empower educational establishments to strategically allocate resources toward enhancing student experiences, aligning with learner goals, and consequently augmenting the adoption of AR/VR technologies. Findings Regarding the relationship between learner experience and multiple goals, the findings indicate that convenience experience greatly impacts academic goals and social goals. Immersive experience also has a remarkable influence on academic goals, social goals, and practical goals. As regards the impact of multiple goals on AR/VR adoption, the research reveals that academic, social, and practical goals have a significant effect on such adoption. Concerning the correlation between learner experience and AR/VR adoption, it can be seen that usage experience and entertainment experience have a beneficial effect on such adoption. Recommendations for Practitioners In terms of practical contributions, educational organizations in Vietnam can use the research during AR/VR implementation processes to maximize the benefits of AR/VR in education. Recommendations for Researchers The authors conduct a theoretical research framework for the adoption of AR/VR technology into Vietnam’s higher education digital platform. The research approaches a different aspect in the context of higher education, which considers students as customers based on prior research on customer behaviors through multiple goals and learner experiences to evaluate their impacts on the AR/VR adoption of students. Impact on Society AR/VR has achieved extensive utilization and widespread acclaim across various sectors, notably education. Within the context of higher education institutions, the integration of AR/VR applications not only has advantages but also presents associated challenges. Therefore, the present inquiry was undertaken to elucidate the determinants influencing students’ receptiveness toward AR/VR utilization. Educational establishments can leverage the insights gained from analyzing the learner experience and multifaceted objectives of, as well as impediments to, AR/VR assimilation to enhance favorable elements and mitigate unfavorable aspects during the process of AR/VR implementation. The overarching objective is to elevate the degree of AR/VR adoption among students. Future Research Further research can consult the customer behavior approach regarding technological adoption in educational contexts. In addition, apart from adoption, dependent variables can be studied, such as satisfaction with or decision to use AR/VR in future research. © (CC BY-NC 4.0) This article is licensed to you under a Creative Commons Attribution-NonCommercial 4.0 International License. When you copy and redistribute this paper in full or in part, you need to provide proper attribution to it to ensure that others can later locate this work (and to ensure that others do not accuse you of plagiarism). You may (and we encourage you to) adapt, remix, transform, and build upon the material for any non-commercial purposes. This license does not permit you to use this material for commercial purposes",Informing Science Institute
Berrezueta-Guzman S.; Wagner S.,"Berrezueta-Guzman, Santiago (60413348200); Wagner, Stefan (55286051900)",60413348200; 55286051900,Next-Gen orientation: supporting international students with generative AI NPCs in VR,2026,https://www.scopus.com/pages/publications/105033981968?origin=resultslist,"Educational Virtual Reality (VR) provides immersive learning environments, yet most contemporary applications rely on pre-scripted Non-Player Characters (NPCs) that offer limited personalization and rigid interaction paths. This study presents the technical implementation and evaluation of TUMSphere, a VR orientation platform designed to facilitate the academic and cultural transition of international students. We propose a modular architecture that integrates Large Language Models (LLMs) with Unreal Engine via the Conversational AI (Convai) platform, enabling embodied NPCs to provide real-time speech recognition, context-aware dialogue, and autonomous spatial navigation. To validate this approach, a mixed-methods user study (N = 24) was conducted with international students to assess system latency, usability, and pedagogical efficacy. Results demonstrate a high System Usability Scale (SUS) score of 76.4 (SD = 12.5) and robust task completion rates, reaching 100% for spatial navigation and 96% for information retrieval. While technical benchmarking revealed an average end-to-end latency of 2.90s for complex, retrieval-heavy queries, qualitative findings indicate that users find this “latency-presence trade-off” acceptable in exchange for the pedagogical benefits. Crucially, participants reported a significant reduction in social anxiety when practicing language and administrative queries with AI agents compared to human interlocutors. These findings suggest that embodied, generative AI NPCs can serve as a scalable, low-pressure “social sandbox” that effectively redefines student support systems and orientation strategies in higher education. Copyright © 2026 Berrezueta-Guzman and Wagner.",Frontiers Media SA
Juita R.; Inan D.I.; Indra M.,"Juita, Ratna (56862358400); Inan, Dedi I. (56312562400); Indra, Muhammad (60599300500)",56862358400; 56312562400; 60599300500,Does utilising augmented reality in learning process improve student’s cognitive processing? A cognitive absorption approach,2025,https://www.scopus.com/pages/publications/105026710300?origin=resultslist,"Augmented reality (AR) integration in learning aims to improve overall educational experiences through multiple pathways, with cognitive processing enhancement serving as a fundamental mechanism. Whilst AR’s benefits encompass motivation, engagement and satisfaction, understanding how AR influences cognitive processing provides crucial insights into the underlying mechanisms that drive these broader improvements. Despite broad recognition of this goal, it remains underexplored. Drawing on cognitive absorption theory, this study examines how key cognitive absorption factors influence cognitive processing benefits. Data were collected from 184 university students and analysed using partial least square-structural equation modelling and importance-performance map analysis (IPMA). Findings reveal that enjoyment, control and curiosity significantly influence perceived usefulness (PU) (R2 = 62.4%) and ease of use (R2 = 65.4%). These factors, in turn, mediate immersive experiences (R2 = 63.7%), which significantly affect cognitive processing benefits (R2 = 55.3%). The results suggest that within AR-based learning, traditional technology acceptance models should be reconsidered. Notably, whilst perceived ease of use and enjoyment are important (as shown by IPMA), they do not significantly impact PU. Additionally, multi-group analysis indicates that AR-supported learning results in consistent cognitive processing outcomes for students from both natural and social sciences, suggesting AR’s broad applicability across academic disciplines. © 2025 R. Juita et al.",Association for Learning Technology
Nevoenna O.; Kotun K.; Voznyuk O.; Zaverukha Y.; Kushevska N.,"Nevoenna, Olena (60109115800); Kotun, Kyryl (60028804700); Voznyuk, Oksana (59231443900); Zaverukha, Yuliia (60109241800); Kushevska, Natalia (60109491500)",60109115800; 60028804700; 59231443900; 60109241800; 60109491500,Virtual Reality as a Tool for Developing Intercultural Competence in the Global Educational Space; [La realidad virtual como herramienta para desarrollar la competencia intercultural en el espacio educativo global],2025,https://www.scopus.com/pages/publications/105016713712?origin=resultslist,"Introduction: the study investigated the effectiveness of virtual reality (VR) technology in developing intercultural competencies among university students within the context of global education. Objective: to evaluate the impact of virtual reality-based educational interventions on the development of intercultural competence, empathy, and intercultural communication skills among university students compared to traditional learning methods. Method: a quasi-experimental design was employed with 120 participants aged 18–24 years from four universities in Ukraine, Spain, Poland, and Colombia. Stratified random sampling was used to ensure cultural diversity. The experimental group (n = 60) received VR-based intercultural communication training, while the control group (n = 60) followed traditional learning methods during a 14-day intervention. Data were collected using the Intercultural Competence Index (ICI) and the Intercultural Perspective Questionnaire (IPAQ) in pre-and post-intervention assessments. Statistical analysis included independent samples t-tests and descriptive statistics at a significance level of p < 0,05, with Cronbach’s alpha coefficients above 0,8 confirming instrument reliability. Results: the VR group demonstrated a significant improvement in overall intercultural competence (M = 78,9 vs M = 64,1, t = 6,42, p < 0,001) compared to the control group. Notable gains were also observed in empathy (t = 5,21, p < 0,001), communication flexibility (t = 4,83, p < 0,001), and tolerance (t = 3,12, p = 0,003). Conclusions: VR-based training proved effective in enhancing intercultural awareness, empathy, and adaptive communication skills. These competencies are crucial for fostering global citizenship and preparing students for participation in a culturally diverse educational environment. © 2025 Los autores.",AG Editor (Argentina)
Weissenböck R.,"Weissenböck, Renate (56288815400)",56288815400,Augmented Quarantine: An experiment in online teaching using augmented reality for customized design interventions,2021,https://www.scopus.com/pages/publications/85124736887?origin=resultslist,"This paper presents experimental research about using Augmented Reality (AR) for interactive design processes, exploring a spatial ""live"" design method taking place in an overlay of real space and digital models. It discusses the processes and outcomes of a seminar undertaken at Graz University of Technology in winter term 2020/2021. Due to the Covid-19 pandemic, the course was taught online, and conceptualized to allow students the biggest possible learning experience during the lockdown. Ensuring accessibility to all participants, the seminar was based on the use of ubiquitous devices. The implementation of newly developed software, such as ""Fologram"", enabled the students to use AR systems at home with their personal computers and smartphones. The task of the course was to design customized interventions for the students' own domestic spaces, reacting to changing conditions and needs during the lockdown. The employed workflow was driven by an instant connection between 3D-modeling (Rhinoceros3D), parametric design (Grasshopper) and holographic immersion (Fologram). © 2021, Education and research in Computer Aided Architectural Design in Europe. All rights reserved.",Education and research in Computer Aided Architectural Design in Europe
Hill T.; Preez H.D.,"Hill, Tanya (36339711600); Preez, Hanneke Du (58579553400)",36339711600; 58579553400,Reflections on a virtual reality soft skills teaching intervention,2022,https://www.scopus.com/pages/publications/85136946705?origin=resultslist,"The paper analyses undergraduate finance students reflections on the impact of a VR soft skills teaching intervention and their understanding of the influence of soft skills on their future work environment. The contribution of the research can be found in the self-developed VR soft skills videos, the analyses of the reflections using the Pedler reflective framework and the findings that focus on the insights students gain through the teaching intervention. The research question is: What is the impact of the VR soft skills teaching intervention on the insights of undergraduate finance students when confronted by work-place scenarios The findings of the study show that the students were able to reflect effectively using the Pedler reflective framework and to develop strategies of their responses to similar situations in future. The VR soft-skills teaching intervention is therefore an effective tool in developing the insights of students to be applied in their future world of work. © HEAd 2022. All Rights Reserved.",Universidad Politecnica de Valencia.
Shamsudin N.M.; Hoon T.S.; Aris S.R.S.; Yunus M.M.,"Shamsudin, Nurshamshida Md (57455672500); Hoon, Teoh Sian (36158220800); Aris, Sharipah Ruzaina Syed (55377749700); Yunus, Melor Md (57218893299)",57455672500; 36158220800; 55377749700; 57218893299,Metaverse Technology for Teacher Training Programmes in Higher Learning Institutions: Perceptions of Teacher Trainees,2024,https://www.scopus.com/pages/publications/85208022045?origin=resultslist,"The integration of innovative technologies in teacher education is crucial for preparing future educators to harness the potential of technology in their teaching practices. The metaverse, a collective virtual shared space created by the convergence of physical and virtual reality, offers promising opportunities for enhancing teacher training programs at universities. This study aims to explore the perceptions of teacher trainees regarding the implementation of metaverse technologies in their training programs at higher education institutions. A mixed-methods approach was employed, involving a survey administered to 300 teacher trainees, followed by in-depth interviews with a selected group of participants. The findings reveal a generally positive perception of the metaverse as an innovative and engaging learning environment that can enhance interactivity, collaboration, and real-world simulation in teacher training. However, concerns were raised regarding the technical challenges, learning curve, and potential distractions associated with the metaverse. Additionally, participants expressed the need for adequate training and support to effectively integrate metaverse technologies into their teaching practices. The study concludes with recommendations for universities and teacher training institutions to provide the necessary infrastructural, technical, and pedagogical support to facilitate the successful implementation of metaverse technologies in teacher training programs. Further research is suggested to explore the long-term impacts of metaverse integration on the teaching practices and professional development of trainee teachers © (2024), (UiTM Press). All rights reserved.",UiTM Press
Hendricks D.,"Hendricks, Denver (36741538200)",36741538200,Applications of augmented reality as a blended learning tool for architectural education,2022,https://www.scopus.com/pages/publications/85130917043?origin=resultslist,"Augmented reality (AR) is an innovative learning tool that is gaining popularity in educational settings as it has the potential to significantly enhance interactive learning. In addition, AR has been a significant contributor to blended learning because it can be used in addition to conventional learning aids like text, images, video tutorials and the internet. However, there is a lack of research on the application of AR in the context of programmes with technical and practical components particularly with reference to the possibilities it may offer in terms of Architecture, Engineering and Construction (AEC). This paper reports on the first phase of an action research study done in an architecture department in a higher education institution that offers a module on Construction Technology. The learning unit for which AR is particularly explored is Construction Methods, Assembly, and Materials. A qualitative research approach was applied where principles of the Delphi method were used after selecting a group of eight experts who were purposively sampled. The participants were exposed to the AR technology, viewed a simulation, and were encouraged to explore three-dimensional model building for themselves by using the AR tool. Themes that emerged from group discussion were recorded to illustrate the possibilities of the application of AR in the context of the module as well as possible limitations or concerns. Curriculum outcomes were then proposed to enhance an interdisciplinary component, incorporating the AR project outcomes with wider applicability than architecture only. The implications shared should be applicable to skill development in engineering and construction education in learning units that deal with construction methods, assembly and materials. © 2022 by the authors.",University of Johannesburg
